timestamp,accX,accY,accZ,pressure,gyroX,gyroY,gyroZ
26540,-100781,5468,781,2045,-87,37,-26
26542,-100781,5468,781,2051,-88,37,-26
26544,-100781,5468,781,2042,-88,37,-26
26546,-100781,5468,781,2045,-88,37,-26
26548,-100781,5468,781,2045,-88,38,-26
26550,-100781,5468,0,2035,-88,38,-27
26552,-100781,5468,0,2040,-88,38,-27
26554,-100781,5468,0,2038,-88,38,-27
26556,-100781,5468,0,2031,-88,38,-27
26558,-100781,5468,0,2046,-87,38,-27
26560,-100781,6250,0,2043,-87,38,-27
26562,-100781,6250,0,2031,-87,38,-27
26564,-100781,6250,0,2032,-87,38,-27
26566,-100781,6250,0,2042,-87,38,-27
26568,-100781,6250,0,2045,-87,38,-27
26570,-100781,5468,0,2047,-87,38,-27
26572,-100781,5468,0,2031,-87,38,-27
26574,-100781,5468,0,2036,-87,38,-27
26576,-100781,5468,0,2037,-87,38,-27
26578,-100781,5468,0,2035,-87,38,-27
26580,-100781,5468,781,2043,-87,38,-27
26582,-100781,5468,781,2041,-87,38,-27
26584,-100781,5468,781,2040,-87,39,-27
26586,-100781,5468,781,2042,-87,39,-27
26588,-100781,5468,781,2051,-87,39,-27
26590,-99218,5468,781,2032,-86,39,-28
26592,-99218,5468,781,2033,-86,39,-28
26594,-99218,5468,781,2033,-86,38,-28
26596,-99218,5468,781,2043,-86,38,-28
26598,-99218,5468,781,2038,-86,39,-28
26600,-100781,5468,1562,2047,-86,39,-28
26602,-100781,5468,1562,2042,-86,39,-28
26604,-100781,5468,1562,2038,-86,39,-28
26606,-100781,5468,1562,2040,-86,39,-28
26653,-100000,5468,781,2049,-84,41,-29
26654,-100000,5468,781,2068,-84,41,-29
26656,-100000,5468,781,2032,-84,41,-29
26657,-100000,5468,781,2027,-84,41,-29
26659,-100000,5468,781,2048,-83,41,-29
26660,-100000,5468,781,2041,-83,41,-29
26662,-100000,7031,2343,2041,-83,41,-29
26663,-100000,7031,2343,2048,-83,42,-29
26665,-100000,7031,2343,2042,-83,42,-29
26666,-100000,7031,2343,2038,-83,42,-29
26668,-100000,7031,2343,2035,-83,42,-29
26669,-100000,7031,2343,2035,-83,42,-29
26671,-100000,7031,2343,2040,-83,42,-29
26672,-100781,5468,0,2040,-82,42,-29
26674,-100781,5468,0,2049,-82,42,-29
26675,-100781,5468,0,2038,-82,42,-29
26677,-100781,5468,0,2038,-82,42,-29
26678,-100781,5468,0,2037,-82,42,-29
26679,-100781,5468,0,2043,-82,42,-29
26681,-100781,5468,0,2035,-82,42,-29
26682,-99218,7812,781,2036,-82,42,-29
26684,-99218,7812,781,2038,-82,42,-29
26685,-99218,7812,781,2046,-81,42,-29
26687,-99218,7812,781,2032,-81,42,-29
26688,-99218,7812,781,2042,-81,42,-29
26690,-99218,7812,781,2042,-81,42,-29
26691,-100000,6250,781,2040,-81,42,-29
26693,-100000,6250,781,2041,-81,42,-29
26694,-100000,6250,781,2036,-81,42,-29
26696,-100000,6250,781,2046,-81,42,-29
26697,-100000,6250,781,2032,-80,42,-30
26699,-100000,6250,781,2036,-80,42,-30
26702,-100000,6250,1562,2047,-80,42,-29
26703,-100000,6250,1562,2052,-80,42,-29
26705,-100000,6250,1562,2051,-80,42,-29
26706,-100000,6250,1562,2054,-80,43,-29
26708,-100000,6250,1562,2045,-80,43,-29
26709,-100000,6250,1562,2046,-80,43,-29
26711,-100000,6250,1562,2038,-79,43,-29
26712,-98437,5468,1562,2033,-79,43,-29
26714,-98437,5468,1562,2047,-79,42,-29
26716,-98437,5468,1562,2046,-79,42,-29
26717,-98437,5468,1562,2046,-79,42,-29
26718,-98437,5468,1562,2045,-79,43,-29
26720,-98437,5468,1562,2037,-79,43,-29
26721,-98437,5468,1562,2038,-78,43,-29
26723,-98437,5468,0,2054,-78,43,-29
26724,-98437,5468,0,2041,-78,43,-29
26726,-98437,5468,0,2056,-78,43,-29
26727,-98437,5468,0,2035,-78,43,-29
26729,-98437,5468,0,2041,-78,43,-29
26730,-98437,5468,0,2036,-78,43,-29
26732,-99218,6250,0,2041,-78,43,-29
26733,-99218,6250,0,2037,-77,43,-29
26735,-99218,6250,0,2032,-77,43,-29
26736,-99218,6250,0,2036,-77,43,-29
26738,-99218,6250,0,2032,-77,43,-29
26739,-99218,6250,0,2043,-77,43,-29
26741,-99218,6250,0,2043,-77,43,-29
26742,-99218,6250,1562,2032,-77,43,-29
26744,-99218,6250,1562,2032,-76,43,-29
26745,-99218,6250,1562,2036,-76,43,-29
26747,-99218,6250,1562,2037,-76,43,-29
26748,-99218,6250,1562,2046,-76,43,-29
26750,-99218,6250,1562,2046,-76,43,-29
26751,-99218,6250,1562,2040,-75,43,-29
26753,-97656,6250,2343,2046,-75,43,-29
26754,-97656,6250,2343,2032,-75,43,-29
26756,-97656,6250,2343,2035,-75,43,-29
26757,-97656,6250,2343,2049,-75,43,-29
26759,-97656,6250,2343,2043,-75,43,-29
26761,-97656,6250,2343,2041,-75,43,-29
26763,-98437,6250,2343,2042,-75,43,-29
26764,-98437,6250,2343,2040,-74,43,-30
26766,-98437,6250,2343,2041,-74,43,-30
26767,-98437,6250,2343,2042,-74,43,-30
26777,-97656,6250,1562,2041,-73,43,-29
26779,-97656,6250,1562,2042,-73,43,-29
26780,-97656,6250,1562,2038,-73,43,-29
26782,-97656,6250,1562,2045,-73,43,-29
26783,-97656,6250,781,2040,-73,43,-29
26785,-97656,6250,781,2041,-73,43,-29
26786,-97656,6250,781,2040,-72,43,-29
26788,-97656,6250,781,2043,-72,43,-29
26789,-97656,6250,781,2051,-72,43,-29
26791,-97656,6250,781,2041,-72,43,-30
26792,-97656,6250,781,2042,-72,43,-29
26794,-97656,6250,2343,2043,-71,43,-29
26795,-97656,6250,2343,2037,-71,43,-29
26797,-97656,6250,2343,2038,-71,43,-29
26798,-97656,6250,2343,2032,-71,43,-30
26800,-97656,6250,2343,2046,-71,43,-30
26801,-97656,6250,2343,2042,-71,43,-30
26803,-97656,6250,3125,2036,-71,43,-30
26804,-97656,6250,3125,2033,-70,43,-30
26806,-97656,6250,3125,2047,-70,43,-30
26807,-97656,6250,3125,2047,-70,43,-30
26809,-97656,6250,3125,2033,-70,43,-30
26810,-97656,6250,3125,2043,-70,43,-30
26812,-97656,6250,3125,2031,-70,43,-30
26813,-96875,5468,3125,2049,-70,43,-30
26815,-96875,5468,3125,2041,-69,43,-29
26816,-96875,5468,3125,2032,-69,43,-30
26818,-96875,5468,3125,2049,-69,43,-30
26819,-96875,5468,3125,2042,-69,43,-30
26821,-96875,5468,3125,2041,-69,43,-30
26822,-96875,5468,3125,2043,-68,43,-29
26824,-96875,6250,2343,2042,-68,43,-29
26826,-96875,6250,2343,2053,-68,43,-30
26828,-96875,6250,2343,2048,-67,44,-30
26830,-96875,6250,2343,2041,-67,44,-30
26831,-96875,6250,2343,2040,-67,44,-30
26833,-96875,6250,2343,2051,-67,44,-30
26834,-97656,7812,2343,2038,-67,44,-30
26836,-97656,7812,2343,2046,-67,44,-29
26838,-97656,7812,2343,2032,-67,44,-29
26840,-97656,7812,2343,2041,-66,44,-30
26842,-97656,7812,2343,2037,-66,44,-30
26844,-97656,6250,2343,2043,-66,44,-30
26846,-97656,6250,2343,2043,-65,44,-30
26848,-97656,6250,2343,2042,-65,44,-30
26850,-97656,6250,2343,2031,-65,44,-30
26852,-97656,6250,2343,2040,-65,44,-29
26854,-97656,7031,3125,2046,-64,44,-29
26856,-97656,7031,3125,2038,-64,44,-30
26858,-97656,7031,3125,2037,-64,44,-30
26860,-97656,7031,3125,2042,-64,44,-30
26862,-97656,7031,3125,2043,-64,44,-30
26864,-97656,6250,3125,2033,-63,44,-30
26866,-97656,6250,3125,2042,-63,44,-30
26868,-97656,6250,3125,2038,-63,44,-30
26870,-97656,6250,3125,2043,-63,44,-30
26872,-97656,6250,3125,2028,-63,44,-30
26874,-96875,6250,2343,2042,-62,44,-30
26876,-96875,6250,2343,2041,-62,44,-30
26878,-96875,6250,2343,2028,-62,43,-30
26880,-96875,6250,2343,2038,-62,43,-30
26882,-96875,6250,2343,2041,-62,43,-30
26884,-97656,7031,3125,2040,-61,43,-30
26886,-97656,7031,3125,2033,-61,43,-30
26888,-97656,7031,3125,2043,-61,43,-30
26890,-97656,7031,3125,2040,-60,43,-30
26892,-97656,7031,3125,2047,-60,43,-30
26894,-96875,7031,3125,2042,-60,43,-30
26896,-96875,7031,3125,2035,-60,43,-30
26898,-96875,7031,3125,2045,-59,43,-30
26900,-96875,7031,3125,2035,-59,43,-30
26902,-96875,7031,3125,2038,-59,43,-30
26904,-96875,7031,1562,2048,-59,43,-30
26906,-96875,7031,1562,2031,-59,43,-30
26908,-96875,7031,1562,2045,-58,43,-30
26935,-96093,6250,2343,2040,-55,43,-30
26937,-96093,6250,2343,2036,-55,43,-30
26938,-96093,6250,2343,2045,-55,44,-30
26940,-96093,6250,2343,2041,-54,44,-30
26941,-96093,6250,2343,2040,-54,44,-30
26943,-96093,6250,2343,2040,-54,44,-30
26944,-96875,6250,3906,2043,-54,43,-30
26946,-96875,6250,3906,2048,-54,43,-30
26947,-96875,6250,3906,2046,-53,43,-30
26949,-96875,6250,3906,2037,-53,43,-30
26950,-96875,6250,3906,2051,-53,43,-30
26952,-96875,6250,3906,2051,-53,43,-30
26953,-96875,6250,3906,2043,-52,43,-30
26955,-96875,7031,0,2037,-52,43,-30
26956,-96875,7031,0,2040,-52,43,-30
26958,-96875,7031,0,2043,-52,43,-30
26959,-96875,7031,0,2046,-52,43,-30
26961,-96875,7031,0,2049,-51,43,-30
26962,-96875,7031,0,2051,-51,44,-30
26963,-96875,7031,0,2051,-51,44,-29
26965,-97656,6250,3125,2041,-51,44,-29
26967,-97656,6250,3125,2049,-51,44,-29
26968,-97656,6250,3125,2041,-51,44,-30
26970,-97656,6250,3125,2041,-51,44,-30
26971,-97656,6250,3125,2042,-51,44,-30
26973,-97656,6250,3125,2037,-50,44,-29
26974,-97656,6250,3125,2037,-50,44,-29
26976,-96093,7031,2343,2033,-50,44,-29
26977,-96093,7031,2343,2043,-50,44,-29
26978,-96093,7031,2343,2037,-49,44,-29
26980,-96093,7031,2343,2037,-49,44,-29
26981,-96093,7031,2343,2046,-49,44,-29
26984,-96093,7031,2343,2051,-49,44,-29
26986,-96093,6250,1562,2043,-48,44,-29
26987,-96093,6250,1562,2043,-48,44,-29
26989,-96093,6250,1562,2047,-48,44,-29
26990,-96093,6250,1562,2042,-48,44,-29
26992,-96093,6250,1562,2049,-48,44,-29
26993,-96093,6250,1562,2051,-48,44,-29
26995,-96875,7031,3125,2038,-48,44,-29
26996,-96875,7031,3125,2042,-47,44,-29
26998,-96875,7031,3125,2046,-47,44,-29
26999,-96875,7031,3125,2040,-47,44,-29
27001,-96875,7031,3125,2051,-47,44,-29
27002,-96875,7031,3125,2036,-46,44,-29
27004,-96875,7031,3125,2045,-46,44,-29
27005,-96875,7031,1562,2038,-46,44,-29
27007,-96875,7031,1562,2047,-46,43,-29
27008,-96875,7031,1562,2049,-46,44,-29
27010,-96875,7031,1562,2051,-46,44,-29
27011,-96875,7031,1562,2052,-46,44,-29
27013,-96875,7031,1562,2045,-45,44,-29
27014,-96875,7031,1562,2041,-45,44,-29
27016,-96093,6250,2343,2041,-45,44,-29
27018,-96093,6250,2343,2043,-45,44,-29
27020,-96093,6250,2343,2041,-45,44,-29
27022,-96093,6250,2343,2042,-44,44,-29
27024,-96093,6250,2343,2045,-44,43,-29
27026,-95312,7031,781,2041,-44,43,-29
27028,-95312,7031,781,2038,-43,43,-29
27030,-95312,7031,781,2045,-43,43,-30
27032,-95312,7031,781,2051,-43,43,-30
27034,-95312,7031,781,2046,-43,43,-30
27036,-96875,7031,2343,2049,-42,43,-29
27038,-96875,7031,2343,2037,-42,43,-29
27040,-96875,7031,2343,2035,-42,43,-29
27042,-96875,7031,2343,2041,-42,43,-29
27044,-96875,7031,2343,2036,-41,43,-29
27046,-96093,6250,3906,2046,-41,43,-30
27049,-96093,6250,3906,2051,-41,43,-30
27050,-96093,6250,3906,2038,-41,43,-30
27052,-96093,6250,3906,2041,-41,43,-30
27054,-96093,6250,3906,2038,-40,42,-30
27056,-96093,7031,2343,2043,-40,42,-30
27058,-96093,7031,2343,2042,-40,43,-30
27060,-96093,7031,2343,2043,-40,43,-30
27062,-96093,7031,2343,2038,-39,43,-30
27064,-96093,7031,2343,2033,-39,42,-30
27066,-96093,5468,3125,2040,-39,42,-30
27068,-96093,5468,3125,2045,-39,42,-30
27070,-96093,5468,3125,2030,-39,42,-30
27072,-96093,5468,3125,2031,-39,42,-30
27074,-96093,5468,3125,2041,-39,42,-30
27076,-96093,7031,2343,2037,-39,42,-30
27078,-96093,7031,2343,2038,-38,43,-30
27080,-96093,7031,2343,2041,-38,43,-30
27082,-96093,7031,2343,2041,-38,43,-30
27084,-96093,7031,2343,2046,-38,43,-30
27086,-96875,7031,2343,2042,-37,43,-30
27088,-96875,7031,2343,2045,-37,43,-29
27090,-96875,7031,2343,2043,-37,43,-29
27092,-96875,7031,2343,2049,-36,43,-29
27094,-96875,7031,2343,2033,-36,43,-29
27096,-96093,7031,781,2035,-36,43,-29
27098,-96093,7031,781,2041,-36,43,-29
27100,-96093,7031,781,2038,-35,43,-29
27102,-96093,7031,781,2045,-35,43,-29
27104,-96093,7031,781,2041,-35,43,-29
27106,-96093,7031,2343,2038,-35,43,-29
27108,-96093,7031,2343,2031,-35,43,-29
27110,-96093,7031,2343,2031,-34,43,-29
27112,-96093,7031,2343,2036,-34,43,-29
27114,-96093,7031,2343,2041,-34,43,-29
27116,-96875,7812,781,2037,-34,43,-29
27119,-96875,7812,781,2042,-33,43,-29
27120,-96875,7812,781,2046,-33,43,-29
27122,-96875,7812,781,2033,-33,43,-29
27124,-96875,7812,781,2038,-33,43,-29
27126,-96875,7812,781,2046,-33,43,-29
27128,-96875,7812,781,2051,-33,42,-29
27130,-96875,7812,781,2046,-32,42,-29
